type,flag,UTC,Row,t_rel_s,state
flag_edge,accel_z,2025-08-21T18:12:32+00:00,2946,46.0,
flag_edge,igniter_c,2025-08-21T18:12:33+00:00,2947,47.0,
flag_edge,igniter_c,2025-08-21T18:12:34+00:00,2971,48.0,
state_change,,2025-08-21T18:12:34+00:00,2959,48.0,main
state_change,,2025-08-21T18:12:34+00:00,2973,48.0,drogue
state_change,,2025-08-21T18:12:34+00:00,2977,48.0,main
flag_edge,igniter_c,2025-08-21T18:12:36+00:00,2993,50.0,
flag_edge,igniter_c,2025-08-21T18:12:36+00:00,3007,50.0,
flag_edge,igniter_c,2025-08-21T18:12:39+00:00,3050,53.0,
flag_edge,igniter_c,2025-08-21T18:12:40+00:00,3058,54.0,
flag_edge,igniter_c,2025-08-21T18:12:41+00:00,3080,55.0,
flag_edge,igniter_c,2025-08-21T18:12:42+00:00,3089,56.0,
flag_edge,igniter_c,2025-08-21T18:12:43+00:00,3113,57.0,
flag_edge,igniter_c,2025-08-21T18:12:48+00:00,3173,62.0,
flag_edge,igniter_c,2025-08-21T18:12:49+00:00,3192,63.0,
flag_edge,igniter_c,2025-08-21T18:12:49+00:00,3195,63.0,
flag_edge,igniter_c,2025-08-21T18:12:49+00:00,3204,63.0,
flag_edge,igniter_c,2025-08-21T18:12:51+00:00,3217,65.0,
flag_edge,igniter_c,2025-08-21T18:12:53+00:00,3250,67.0,
flag_edge,igniter_c,2025-08-21T18:12:53+00:00,3254,67.0,
flag_edge,igniter_c,2025-08-21T18:12:56+00:00,3301,70.0,
flag_edge,igniter_c,2025-08-21T18:12:58+00:00,3323,72.0,
flag_edge,igniter_c,2025-08-21T18:13:00+00:00,3354,74.0,
flag_edge,igniter_c,2025-08-21T18:13:00+00:00,3357,74.0,
flag_edge,igniter_c,2025-08-21T18:13:00+00:00,3362,74.0,
flag_edge,igniter_c,2025-08-21T18:13:00+00:00,3368,74.0,
flag_edge,igniter_c,2025-08-21T18:13:03+00:00,3403,77.0,
state_change,,2025-08-21T18:13:04+00:00,3417,78.0,landed
