Flag,UTC,t_rel_s,Flight_Time_(s),Sync,Row
Press_Increasing,2025-08-21T14:12:12.612000+00:00,28.66,26.74,135,1433
Apo_fired,2025-08-21T14:12:12.792000+00:00,28.84,26.92,65,1442
LT_BVEL1.3,2025-08-21T14:12:19.952000+00:00,36.0,34.08,225,1800
LT_BVEL1.2,2025-08-21T14:12:19.952000+00:00,36.0,34.08,225,1800
LT_BVEL1.1,2025-08-21T14:12:19.952000+00:00,36.0,34.08,225,1800
LT_BVEL1,2025-08-21T14:12:19.952000+00:00,36.0,34.08,225,1800
4th_fired,2025-08-21T14:12:21.492000+00:00,37.54,35.62,15,1877
LT_AGL1.3,2025-08-21T14:12:33.592000+00:00,49.64,47.72,115,2482
LT_AGL1.1,2025-08-21T14:12:33.632000+00:00,49.68,47.76,155,2484
LT_AGL1.3,2025-08-21T14:12:34.072000+00:00,50.12,48.2,95,2506
LT_AGL1.1,2025-08-21T14:12:34.072000+00:00,50.12,48.2,95,2506
GT_FANG2.2,2025-08-21T14:12:34.572000+00:00,50.62,48.7,95,2531
LT_AGL1.1,2025-08-21T14:12:34.632000+00:00,50.68,48.76,155,2534
LT_AGL1.3,2025-08-21T14:12:34.632000+00:00,50.68,48.76,155,2534
LT_AGL1.3,2025-08-21T14:12:34.872000+00:00,50.92,49.0,145,2546
LT_AGL1.1,2025-08-21T14:12:34.872000+00:00,50.92,49.0,145,2546
LT_AGL1.3,2025-08-21T14:12:35.152000+00:00,51.2,49.28,175,2560
LT_AGL1.1,2025-08-21T14:12:35.152000+00:00,51.2,49.28,175,2560
Main_fired,2025-08-21T14:12:35.172000+00:00,51.22,49.3,195,2561
